NomeEstacao;CodEstacao;Bacia;SubBacia;Operadora;Responsavel;Municipio-UF;Latitude;Longitude;Altitude;CodRio;NomeRio;Origem;StatusEstacao
UHE BELO MONTE BR230;351004;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;VITÓRIA DO XINGU-PA;-3,1267;-51,7906;33;0;;Setor Elétrico;Ativo
UHE BELO MONTE SÍTIO PIMENTAL;351005;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;VITÓRIA DO XINGU-PA;-3,3758;-51,9403;110;0;;Setor Elétrico;Ativo
UHE BELO MONTE VISTA ALEGRE;352009;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;ALTAMIRA-PA;-3,1186;-52,2525;125;0;;Setor Elétrico;Ativo
UHE BELO MONTE SÃO FRANCISCO;352010;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;ALTAMIRA-PA;-3,2533;-52,3489;124;0;;Setor Elétrico;Ativo
UHE BELO MONTE JOARI;652002;1;18;00594 - NORTE ENERGIA - Norte Energia S.A;00594 - NORTE ENERGIA - Norte Energia S.A;SÃO FÉLIX DO XINGÚ-PA;-6,5603;-52,0764;0;0;;Setor Elétrico;Ativo
MÂNCIO LIMA;772006;1;12;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;MÂNCIO LIMA-AC;-7,5936;-72,9261;216;0;;RHN;Ativo
CARUARU;835106;3;39;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;CARUARU-PE;-8,3028;-36,0108;545;39600000;RIO IPOJUCA;RHN;Ativo
MORRINHOS;946005;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;ALTO PARNAÍBA-MA;-9,6247;-46,2903;356;0;;RHN;Ativo
SENA MADUREIRA;968006;1;13;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;SENA MADUREIRA-AC;-9,0586;-68,6592;190;0;;RHN;Ativo
SANTA ROSA;970003;1;13;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;00380 - SEMA-AC - Secretaria de Meio Ambiente do Estado do Acre;SANTA ROSA DO PURUS-AC;-9,4386;-70,4922;219;0;;RHN;Ativo
